id,matrix-name,base,sm,sm-opt,convergence-row-005-tol,convergence-row-0-tol,parallel-section-size-gpucap,icm32,parallel-row-005-diff,parallel-row-0-diff,parallel-section-size-gpucap-diff,icm32-diff
0,ex5.mtx,0.001105,0.001123,0.001102,0.001117,0.001239,0.001524753,0.001386,4.07E-05,3.49246E-10,3.49246E-10,3.49246E-10
1,bcsstk01.mtx,0.001166,0.001514,0.001451,0.001787,0.001841,0.001662743,0.002201,9.54E-07,9.53674E-07,9.53674E-07,9.53674E-07
2,bcsstk02.mtx,0.002304,0.003284,0.000085,0.003632,0.000103,0.003106737,0.000118,8.84E-06,4.54747E-12,4.54747E-12,4.54747E-12
3,bcsstm02.mtx,0.000077,0.000093,0.002658,0.000103,0.004187,0.000150319,0.004589,0.00E+00,0,0,0
4,pivtol.mtx,0.000406,0.000505,0.000353,0.000561,0.011158,0.006383321,0.009477,9.07E-05,0,0,0
5,bcsstk03.mtx,0.004667,0.00584,0.003874,0.006689,0.007248,0.004899224,0.006892,1.06E-03,1.07288E-06,1.07288E-06,1.07288E-06
6,arc130.mtx,0.000517,0.000513,0.000342,0.000631,0.001339,0.001364061,0.001088,4.02E-10,2.22045E-16,2.22045E-16,2.22045E-16
7,bcsstk04.mtx,0.00938,0.010324,0.006468,0.012575,0.013574,0.008823997,0.010696,2.10E-06,4.65661E-10,4.65661E-10,4.65661E-10
8,bcsstk22.mtx,0.006281,0.006229,0.003941,0.007692,0.009201,0.008168714,0.007456,3.87E-04,9.31323E-10,9.31323E-10,9.31323E-10
9,bcsstk05.mtx,0.009685,0.010302,0.006012,0.01181,0.012352,0.009299621,0.009949,1.48E-06,1.63709E-09,1.63709E-09,1.63709E-09
10,problem1.mtx,0.101405,0.047582,0.029503,0.035818,0.044625,0.0376841,0.041169,2.52E-05,1.33227E-15,1.33227E-15,1.33227E-15
11,bcsstk06.mtx,0.088583,0.049862,0.031451,0.036208,0.039287,0.006262609,0.011029,7.87E-06,8.46386E-06,8.46386E-06,8.46386E-06
12,bcsstk07.mtx,0.088603,0.049807,0.031454,0.036189,0.039309,0.006298279,0.011023,7.87E-06,8.46386E-06,8.46386E-06,8.46386E-06
13,bcsstk20.mtx,0.588659,0.295395,0.187173,0.186775,0.188379,0.05079239,0.088959,1.00E+00,1,2,2
14,494_bus.mtx,0.130658,0.068909,0.043735,0.043507,0.052772,0.03102256,0.03664,1.75E-04,9.09495E-13,9.09495E-13,9.09495E-13
15,662_bus.mtx,0.630981,0.286157,0.185151,0.124297,0.163775,0.07610194,0.071831,2.40E-03,1.13687E-13,1.13687E-13,1.13687E-13
16,685_bus.mtx,0.60815,0.285316,0.186972,0.181201,0.239286,0.1241786,0.131489,6.91E-03,1.81899E-12,1.81899E-12,1.81899E-12
17,bcsstk19.mtx,0.709814,0.305389,0.199627,0.10651,0.116612,0.1559684,0.033474,1.65E-03,0.01171875,29.78125,0.001647949
18,bcsstk08.mtx,1.04958,0.40994,0.273751,0.11648,0.140926,0.02296169,0.027927,2.11E-05,3.72529E-09,3.72529E-09,3.72529E-09
19,bcsstk09.mtx,2.004241,0.76562,0.508748,0.157696,0.172752,0.03702442,0.024486,4.57E-04,7.45058E-09,7.45058E-09,7.45058E-09
20,bcsstk10.mtx,3.486319,1.306267,0.865285,0.261762,0.277626,0.2029651,0.369661,6.45E-05,3.72529E-09,3.72529E-09,3.72529E-09
21,1138_bus.mtx,1.820272,0.715813,0.476588,0.242581,0.492603,0.3810547,0.43576,7.21E-04,1.81899E-12,1.81899E-12,1.81899E-12
22,bcsstm27.mtx,2.816547,1.121782,0.756716,0.187964,0.205729,0.03610055,0.024878,3.82E-05,2.32831E-10,2.32831E-10,2.32831E-10
23,bcsstk27.mtx,2.952869,1.181988,0.792841,0.194682,0.210884,0.3137631,0.025312,1.30E-04,1.85931E-11,1.24163E-05,1.85931E-11
24,bcsstk12.mtx,6.625189,2.5641,1.728088,0.306472,0.342382,0.2369052,0.037119,8.09E-05,1.33179E-07,3.58373E-06,1.33179E-07
25,bcsstk11.mtx,6.623455,2.564405,1.72817,0.306523,0.342381,0.2369229,0.037077,8.09E-05,1.33179E-07,3.58373E-06,1.33179E-07
26,bcsstk14.mtx,7.86748,2.963772,2.012889,0.263191,0.284073,0.05710977,0.049122,2.85E-05,2.98023E-08,2.98023E-08,2.98023E-08
27,bcsstm26.mtx,0.113512,0.039889,2.085684,0.030978,0.253801,0.1957098,0.052212,0.00E+00,2.38419E-06,1.14441E-05,2.38419E-06
28,bcsstk26.mtx,8.912742,3.064913,2.085684,0.241747,0.253801,0.06057079,0.052212,3.88E-06,0,0,0
29,bcsstk13.mtx,11.33976,3.997399,2.731131,0.591906,0.697164,0.1088049,0.072666,7.63E-06,7.6294E-06,7.6294E-06,7.6294E-06
30,add20.mtx,2.728451,0.993717,0.678851,0.496117,1.544083,1.554079,1.267183,1.44E-04,2.83107E-14,2.83107E-14,2.83107E-14
31,LeGresley_2508.mtx,34.16257,12.31349,8.412147,4.227771,22.95784,3.689342,4.418156,2.81E-03,8.52651E-14,8.52651E-14,8.52651E-14
32,Chem97ZtZ.mtx,0.702335,0.259369,0.177725,0.138604,0.138855,0.1289581,0.087431,1.14E-13,1.13687E-13,1.13687E-13,1.13687E-13
33,wang2.mtx,21.9384,7.395849,5.058547,2.172139,9.944835,2.525591,3.279097,6.67E-03,5.32907E-15,5.32907E-15,5.32907E-15
34,wang1.mtx,23.04974,7.7708,5.316244,2.699948,9.472417,2.514629,3.202728,7.71E-02,8.88178E-16,8.88178E-16,8.88178E-16
35,bcsstk23.mtx,43.50712,14.82416,10.15378,0.770731,0.809229,0.2551896,0.167215,7.50E-01,0.75,2,0.75
36,swang2.mtx,3.15866,1.154867,0.795748,0.672154,6.991541,1.346158,1.708754,2.81E-04,5.55112E-17,5.55112E-17,5.55112E-17
37,swang1.mtx,2.70725,0.98999,0.682365,0.618598,6.765951,1.332476,1.723375,2.85E-04,2.77556E-17,2.77556E-17,2.77556E-17
38,raefsky1.mtx,54.2459,18.75676,10.34517,0.638097,1.139244,3.287864,4.301218,2.68E-02,4.44089E-16,4.44089E-16,4.44089E-16
39,raefsky2.mtx,43.60702,15.10178,12.8697,4.513734,12.32955,3.475203,3.896386,4.24E-04,2.22045E-16,4.44089E-16,4.44089E-16
40,bcsstk24.mtx,251.597,90.81282,62.14013,23.96117,26.83255,3.491988,2.200177,2.25E-01,0.2246094,0.472168,0.2246094
41,bcsstk21.mtx,77.22996,27.54168,18.9038,0.794515,0.824297,0.3484584,0.241299,4.30E-06,1.49012E-08,1.49012E-08,1.49012E-08
42,bcsstk15.mtx,60.40817,21.26116,14.62782,0.612082,0.68306,0.4067562,0.293202,5.69E+00,2.38419E-07,2.38419E-07,2.38419E-07
43,bcsstk28.mtx,202.6733,71.99117,49.43019,1.378593,1.417078,0.6169855,0.41661,2.17E-07,8.44011E-10,1.39698E-09,8.44011E-10
44,crystk01.mtx,133.2626,45.69184,31.32781,0.980127,1.080254,5.354476,0.533145,2.51E-04,2.57572E-14,0.7660044,2.57572E-14
45,bcsstk16.mtx,125.023,43.57432,30.19536,0.958316,0.990442,0.7881487,0.529431,1.67E-06,1.49012E-08,1.49012E-08,1.49012E-08
46,add32.mtx,17.2928,6.025701,4.175186,3.177164,23.80277,12.23719,11.03531,7.98E-05,3.33067E-16,3.33067E-16,3.33067E-16
47,s2rmq4m1.mtx,343.3013,117.6498,81.16292,1.719911,1.814615,1.077649,0.787622,2.97E-03,1.45519E-11,2.91038E-11,1.45519E-11
48,s1rmq4m1.mtx,326.4714,111.0244,76.58562,1.655103,1.726809,1.121517,0.78293,1.58E-06,3.63798E-12,3.63798E-12,1.81899E-12
49,Na5.mtx,315.1679,107.8965,74.90128,1.902045,7.795135,41.93671,1.320624,5.28E-04,1.77636E-15,1.49782E-10,1.77636E-15
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
